nohup: ignoring input

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-01-23 14:40:09 /users/1/update-category ..................... ~ 0.15ms
  2026-01-23 14:40:09 /users/assign-category ....................... ~ 0.05ms
  2026-01-23 14:40:09 /favicon.ico ................................. ~ 0.04ms
  2026-01-23 14:40:12 /favicon.ico ................................. ~ 0.18ms
  2026-01-23 14:40:12 /favicon.ico ............................... ~ 501.78ms
  2026-01-23 14:40:12 /logout .......................................... ~ 2s
  2026-01-23 14:40:15 / ............................................ ~ 0.03ms
  2026-01-23 14:40:15 /login ....................................... ~ 0.02ms
  2026-01-23 14:40:15 /images/login.png ............................ ~ 0.02ms
  2026-01-23 14:40:15 /favicon.ico ................................. ~ 0.86ms
  2026-01-23 14:40:26 /login ..................................... ~ 500.36ms
  2026-01-23 14:40:26 / ............................................ ~ 0.03ms
  2026-01-23 14:40:27 /images/atendenteico.png ..................... ~ 0.02ms
  2026-01-23 14:40:27 /favicon.ico ................................. ~ 0.02ms
  2026-01-23 14:40:30 /selecionar-guiche ........................... ~ 0.12ms
  2026-01-23 14:40:30 /home ........................................ ~ 0.03ms
  2026-01-23 14:40:30 /images/atendenteico.png ..................... ~ 0.04ms
  2026-01-23 14:40:30 /images/triagemico.png ....................... ~ 0.18ms
  2026-01-23 14:40:30 /favicon.ico ................................. ~ 0.02ms
  2026-01-23 14:40:38 /queue/triagem ............................... ~ 0.10ms
  2026-01-23 14:40:38 /queue/tickets/triagem ....................... ~ 0.04ms
  2026-01-23 14:40:38 /favicon.ico ................................. ~ 0.03ms
  2026-01-23 14:40:43 /queue/tickets/triagem ....................... ~ 0.17ms
  2026-01-23 14:40:48 /queue/tickets/triagem ....................... ~ 0.21ms
  2026-01-23 14:40:53 /queue/tickets/triagem ....................... ~ 0.09ms
  2026-01-23 14:40:58 /queue/tickets/triagem ....................... ~ 0.16ms
  2026-01-23 14:40:59 /queue/atendimento ........................... ~ 0.13ms
  2026-01-23 14:40:59 /queue/tickets/atendimento ................... ~ 0.06ms
  2026-01-23 14:40:59 /favicon.ico ................................. ~ 0.05ms
  2026-01-23 14:41:04 /queue/tickets/atendimento ................... ~ 0.15ms
  2026-01-23 14:41:09 /queue/tickets/atendimento ................... ~ 0.14ms
  2026-01-23 14:41:14 /queue/tickets/atendimento ................... ~ 0.09ms
